Year;gini_disp;gini_mkt;Inflation rate;GDP;GOVEDU;GOVEDU2;GOVEXP;FINDEV 1;DEMOCRACY;FLABOUR;GINI
1975;59;65;13,42594374;1,65E+11;5,0397647;1843328277;12,8716384;63,81820762;0;24,1;59
1976;59,1;65,1;11,0204016;1,69E+11;5,0397647;1769030485;13,57881178;61,53193628;0;24,1;59,1
1977;59,2;65,2;11,15196487;1,68E+11;5,0397647;1961158914;13,04987411;60,0732694;0;24,1;59,2
1978;59,2;65,3;11,13560797;1,73E+11;5,0397647;2257146815;13,80803582;58,96931821;0;24,1;59,2
1979;59,3;65,4;13,2936509;1,80E+11;5,0397647;2787298129;13,74976823;56,93916232;0;24,1;59,3
1980;59,4;65,5;13,6602472;1,92E+11;5,0397647;4014424485;12,96806338;53,96716593;0;22,8;59,4
1981;59,5;65,6;15,25423772;2,02E+11;5,0397647;4126320216;13,68927767;58,77268545;0;22,8;59,5
1982;59,6;65,7;14,63903727;2,01E+11;5,0397647;3794713892;15,37820159;60,56956302;0;22,8;59,6
1983;59,7;65,8;12,30320716;1,98E+11;5,0397647;4236369843;15,07855016;64,75551905;0;22,8;59,7
1984;59,7;66;11,52648044;2,08E+11;5,0397647;3747103243;16,77767651;67,76914043;0;22,8;59,7
1985;59,8;66,1;16,29422614;2,05E+11;5,0397647;2848074505;17,08739634;71,13091983;0;26,7;59,8
1986;59,9;66,2;18,65492687;2,05E+11;5,0397647;3254473934;17,52425643;70,46040223;0;26,7;59,9
1987;60;66,3;16,16059499;2,10E+11;4,7;4016472062;18,29942497;71,08864416;0;26,7;60
1988;60,1;66,4;12,77954421;2,18E+11;4,8;4416210920;17,78390894;72,92548791;0;26,7;60,1
1989;60,2;66,5;14,73088597;2,24E+11;4,6;4400424375;17,73676875;75,4416385;0;26,7;60,2
1990;60,3;66,6;14,32097583;2,23E+11;4,8;5341680000;18,56133204;78,47245719;0,5;26,7;60,3
1991;60,4;66,7;15,33478204;2,21E+11;5,3;6398955000;18,65856331;50,3346968;0,5;29,5;60,4
1992;60,5;66,8;13,8747029;2,16E+11;6,4341556;8467284428;18,96576437;99,37615963;0,5;29,5;60,5
1993;60,5;66,9;9,71744832;2,19E+11;5,7;7503822000;19,64118081;105,0228762;0,5;29,5;60,5
1994;60,6;67,1;8,938543571;2,26E+11;5,5;7553205000;19,79856237;111,0089414;1;38,9;60,6
1995;60,7;67,4;8,680426268;2,33E+11;6,4091197;9779419385;18,11765123;116,0001419;1;37,8;60,7
1996;60,9;67,7;7,354128857;2,43E+11;5,5;7947225000;19,14527167;116,7189034;1;36,6;60,9
1997;61;67,9;8,597770743;2,49E+11;6,6;9858156000;19,29195283;113,3613609;1;33,8;61
1998;61,2;68,2;6,880552536;2,50E+11;6,0861643;8192646626;18,9117688;115,1679271;1;37,1;61,2
1999;61,3;68,4;5,181487799;2,56E+11;5,9;7872016000;18,58082571;131,0482394;1;43,9;61,3
2000;61,5;68,6;5,338951583;2,67E+11;5,25;6992370000;18,38693724;130,3122229;1;42,6;61,5
2001;61,7;69;5,701904835;2,74E+11;5,13;6041960100;18,53406414;138,7925028;1;42,2;61,7
2002;62;69,5;9,494706671;2,84E+11;5,13;5781150900;18,80519032;110,7183677;1;40,8;62
2003;62,3;69,9;5,679418064;2,93E+11;4,88;8327524800;19,05788804;115,8622017;1;39,9;62,3
2004;62,5;70,3;-0,692030138;3,06E+11;4,99;11191522100;19,15756425;126,9323461;1;38;62,5
2005;62,9;70,8;2,062852225;3,22E+11;4,98;12590983800;19,47818947;138,1594291;1;39,9;62,9
2006;63,2;71,3;3,243901675;3,40E+11;5;13325150000;18,15352832;156,9762122;1;40,5;63,2
2007;63,3;71,8;6,17781207;3,59E+11;4,87;14105857600;17,81401487;160,1247848;1;40,5;63,3
2008;63,5;72,3;10,05528203;3,70E+11;4,87;13530223600;18,6579251;140,3498765;1;52,5;63,5
2009;63,4;72,2;7,264562145;3,64E+11;5,21;15072998900;19,86448015;145,9411555;1;51,2;63,4
2010;63,4;72,1;4,063538973;3,75E+11;5,55;20387647500;20,22963791;148,9813773;1;46,9;63,4
2011;63,3;72;5,017157733;3,88E+11;5,89;23899794100;19,86224027;139,602305;1;49,6;63,3
2012;63,1;71,9;5,723943662;3,96E+11;6,25;24098312500;20,25992838;146,4797628;1;49,2;63,1
2013;63;71,7;5,776404135;4,06E+11;5,932453761;21191555377;20,57498034;149,2336824;1;49,7;63
2014;62,9;71,4;6,136020151;4,14E+11;5,97;20389997700;20,79567733;150,9740396;1;49,4;62,9
2015;62,8;71,2;4,509208278;4,19E+11;5,87765365;18205973404;20,45438832;147,5124867;1;50,9;62,8
2016;62,7;71,1;6,594604415;4,20E+11;5,7853073;16671346487;20,79198268;143,8161161;1;51;62,7
2017;62,6;71;5,181082233;4,26E+11;5,989555726;20308846496;20,79900223;147,4724799;1;52,2;62,6
2018;;;4,504577493;4,30E+11;6,045343854;21560658402;21,28224241;138,7871231;1;51,6;
2019;;;4,124350725;4,30E+11;;;21,2957369;;1;52;
2020;;;;;;;;;1;48,6;
2021;;;;;;;;;1;49,6;
